id,capacidade,volume,data_info,fonte
795,4631.00,3208.13,7/9/2014,INEMA
795,4631.00,3193.55,21/9/2014,INEMA
795,4631.00,3112.11,2/11/2014,INEMA
795,4631.00,3095.34,23/11/2014,INEMA
795,4836.82,3058.22,11/1/2015,INEMA
795,4836.82,3018.69,1/2/2015,INEMA
795,4836.82,3051.03,15/3/2015,INEMA
795,4836.82,3077.38,5/4/2015,INEMA
795,4836.82,3228.16,03/05/2015,INEMA
795,4836.82,3454.26,31/5/2015,INEMA
795,4836.82,3454.26,31/5/2015,INEMA
795,4836.82,3527.24,2/8/2015,INEMA
795,4836.82,3384.14,30/8/2015,INEMA
795,4836.82,3102.53,4/10/2015,INEMA
795,4836.82,2946.83,2/11/2015,INEMA
795,4836.82,2906.11,29/11/2015,INEMA
795,4836.82,2842.64,3/1/2016,INEMA
795,4836.82,3145.65,31/1/2016,INEMA
795,4836.82,3108.52,28/2/2016,INEMA
795,4836.82,3003.12,3/4/2016,INEMA
795,4836.82,2962.40,1/5/2016,INEMA
795,4836.82,2940.85,29/5/2016,INEMA
795,4836.82,2904.92,3/7/2016,INEMA
795,4836.82,2873.78,31/7/2016,INEMA
795,4836.82,2842.64,4/9/2016,INEMA
795,4836.82,2819.88,12/9/2016,INEMA
795,4836.82,2848.63,30/10/2016,INEMA
795,4836.82,2898.93,4/12/2016,INEMA
1199,1.26,0.35,1/8/2014,AESA
1199,1.26,0.35,1/8/2014,AESA
1199,1.26,0.3,1/11/2014,AESA
1199,1.26,0.3,1/11/2014,AESA
1199,1.26,0.31,4/11/2014,AESA
1199,1.26,0.24,5/3/2015,AESA
1199,1.26,0.35,2/4/2015,AESA
1199,1.26,0.35,2/4/2015,AESA
1199,1.26,0.34,28/5/2015,AESA
1199,1.26,0.34,28/5/2015,AESA
1199,1.26,0.32,21/7/2015,AESA
1199,1.26,0.31,25/8/2015,AESA
1199,1.26,0.29,25/9/2015,AESA
1199,1.26,0.29,25/9/2015,AESA
1199,1.26,0.24,17/11/2015,AESA
1199,1.26,0.24,17/11/2015,AESA
1199,1.26,0.2,4/2/2016,AESA
1199,1.26,0.2,4/2/2016,AESA
1199,1.26,0.18,23/3/2016,AESA
1199,1.26,0.16,11/5/2016,AESA
1199,1.26,0.13,26/7/2016,AESA
1199,1.26,0.13,4/8/2016,AESA
1199,1.26,0.04,27/10/2016,AESA
1199,1.26,0.04,27/10/2016,AESA
1182,36.00,6.36,3/9/2014,APAC
1182,36.00,6.36,3/9/2014,APAC
1182,36.00,4.35,23/2/2015,APAC
1182,36.00,4.35,23/2/2015,APAC
1182,36.00,3.9,28/4/2015,APAC
1182,36.00,3.9,28/4/2015,APAC
1182,36.00,3.55,5/6/2015,APAC
1182,36.00,3.21,5/8/2015,APAC
1182,36.00,2.96,2/9/2015,APAC
1182,36.00,0,3/11/2015,APAC
1182,36.00,0,3/12/2015,APAC
1182,36.00,0,17/2/2016,APAC
1182,36.00,0,18/3/2016,APAC
1182,36.00,0,4/5/2016,APAC
1182,36.00,0,30/5/2016,APAC
1182,36.00,0,15/6/2016,APAC
1182,36.00,0,25/7/2016,APAC
1182,36.00,0,8/9/2016,APAC
1182,36.00,0,13/10/2016,APAC
1182,36.00,0,16/11/2016,APAC
1176,3.19,0.18,9/6/2014,APAC
1041,1.37,0,11/6/2014,APAC
1041,1.37,0,5/1/2015,APAC
1041,1.37,0,5/1/2015,APAC
1041,1.37,0,5/1/2015,APAC
1092,2.59,0.53,20/3/2014,APAC
1092,2.59,0.26,23/2/2015,APAC
1092,2.59,0.26,23/2/2015,APAC
1092,2.59,0.26,23/2/2015,APAC
1092,2.59,0.09,8/7/2015,APAC
1092,2.59,0.1,12/8/2015,APAC
1092,2.59,0.1,12/8/2015,APAC
1927,5.72,0,6/11/2013,APAC
1927,5.72,0,5/1/2015,APAC
1927,5.72,0,5/1/2015,APAC
1927,5.72,0,20/2/2015,APAC
1927,5.72,0,7/4/2015,APAC
1927,5.72,0,7/4/2015,APAC
1927,5.72,0,7/4/2015,APAC
1927,5.72,0,7/4/2015,APAC
1927,5.72,0,21/1/2016,APAC
1927,5.72,0,21/1/2016,APAC
1927,5.72,0,21/3/2016,APAC
1927,5.72,0,29/4/2016,APAC
1931,16.45,2.52,9/9/2014,APAC
1931,16.45,2.41,28/9/2014,APAC
1931,16.45,2.41,28/9/2014,APAC
1931,16.45,2.41,28/9/2014,APAC
1931,16.45,2.32,3/12/2014,APAC
1931,16.45,2.32,3/12/2014,APAC
1931,16.45,1.6,23/2/2015,APAC
1931,16.45,1.79,25/3/2015,APAC
1931,16.45,1.79,25/3/2015,APAC
1931,16.45,1.55,1/6/2015,APAC
1931,16.45,1.29,1/7/2015,APAC
1931,16.45,1.29,9/7/2015,APAC
1931,16.45,1.28,13/8/2015,APAC
1931,16.45,1.28,8/9/2015,APAC
1931,16.45,1.28,8/9/2015,APAC
1931,16.45,0.67,10/5/2016,APAC
1931,16.45,0,21/6/2016,APAC
1931,16.45,0.53,20/7/2016,APAC
