ID,CD_GEOCODU,NM_ESTADO,NM_REGIAO,SIGLA
1,11,RONDÔNIA,NORTE,RO
2,12,ACRE,NORTE,AC
3,13,AMAZONAS,NORTE,AM
4,14,RORAIMA,NORTE,RR
5,15,PARÁ,NORTE,PA
6,16,AMAPÁ,NORTE,AP
1,17,TOCANTINS,NORTE,TO
1,21,MARANHÃO,NORDESTE,MA
1,22,PIAUÍ,NORDESTE,PI
2,23,CEARÁ,NORDESTE,CE
2,24,RIO GRANDE DO NORTE,NORDESTE,RN
3,25,PARAÍBA,NORDESTE,PB
3,26,PERNAMBUCO,NORDESTE,PE
1,27,ALAGOAS,NORDESTE,AL
2,28,SERGIPE,NORDESTE,SE
4,29,BAHIA,NORDESTE,BA
4,31,MINAS GERAIS,SUDESTE,MG
5,32,ESPIRITO SANTO,SUDESTE,ES
5,33,RIO DE JANEIRO,SUDESTE,RJ
6,35,SÃO PAULO,SUDESTE,SP
3,41,PARANÁ,SUL,PR
4,42,SANTA CATARINA,SUL,SC
5,43,RIO GRANDE DO SUL,SUL,RS
2,50,MATO GROSSO DO SUL,CENTRO-OESTE,MS
3,51,MATO GROSSO,CENTRO-OESTE,MT
4,52,GOIÁS,CENTRO-OESTE,GO
5,53,DISTRITO FEDERAL,CENTRO-OESTE,DF
